,Product Name,Price,Description
0,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
1,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
2,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
3,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
4,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
5,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
6,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
7,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
8,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
9,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
10,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
11,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
12,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
13,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹15,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
14,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
15,CANDY 240 L Frost Free Double Door 2 Star Refrigerator,"₹18,990",Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor
16,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹19,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
17,Voltas Beko 228 L Direct Cool Single Door 5 Star Refrigerator,"₹18,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
18,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
19,Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor
20,SAMSUNG 215 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi-Touch Cool Digit...,"₹19,490","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years."
21,Godrej 223 L Frost Free Double Door 2 Star Refrigerator  with Advanced Inverter and 95%+ Food Surface ...,"₹19,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
22,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
23,LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹16,390",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
24,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
25,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
26,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
27,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
28,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
29,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
30,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
31,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
32,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
33,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
34,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
